id	root	category	domain	level	status	introduced	meaning	notes
ARU-049	kawo	root	world	A1	core	v1.0.0	air / sky	
ARU-050	pani	root	world	A0	core	v1.0.0	food	
ARU-051	lenu	root	world	A1	core	v1.0.0	clothing / covering	
ARU-052	tulu	root	world	A1	core	v1.0.0	tool	
ARU-053	insa	root	world	A1	core	v1.0.0	inside / interior	
ARU-054	supa	root	world	A1	core	v1.0.0	surface / top	
ARU-055	poka	root	world	A1	core	v1.0.0	side / nearby	
ARU-056	naka	root	action	A0	core	v1.0.0	go / move	
ARU-057	tanu	root	action	A0	core	v1.0.0	come / arrive	
ARU-058	ruma	root	action	A1	core	v1.0.0	become	Usually without ke.
ARU-059	waki	root	action	A1	core	v1.0.0	begin	
ARU-060	maku	root	action	A1	core	v1.0.0	do / make / build	
ARU-061	kani	root	action	A0	core	v1.0.0	eat / consume	
ARU-062	taka	root	action	A1	core	v1.0.0	take / receive	
ARU-063	lano	root	action	A1	core	v1.0.0	give / send	
ARU-064	sela	root	action	A0	core	v1.0.0	see / perceive	
ARU-065	lora	root	action	A0	core	v1.0.0	hear / listen	
ARU-066	sona	root	action	A1	core	v1.0.0	know / understand / know how	
ARU-067	rima	root	action	A2	core	v1.0.0	want / intend	
ARU-068	pawa	root	action	A2	core	v1.0.0	can / have power	
ARU-069	sima	root	action	A2	core	v1.0.0	need / should	
ARU-070	miso	root	action	A1	core	v1.0.0	sleep / rest	
ARU-071	pini	root	action	A2	core	v1.0.0	finish / stop	
ARU-072	ama	root	action	A1	core	v1.0.0	have / contain	
ARU-073	maru	quality	quality	A0	core	v1.0.0	big / important	
ARU-074	mini	quality	quality	A0	core	v1.0.0	small / slight	Also used for lesser degree.
ARU-075	nela	quality	quality	A0	core	v1.0.0	good / right / useful	
ARU-076	keto	quality	quality	A0	core	v1.0.0	bad / harmful / wrong	
ARU-077	sini	quality	quality	A1	core	v1.0.0	new	
ARU-078	lasa	quality	quality	A1	core	v1.0.0	old	
ARU-079	welo	quality	quality	A1	core	v1.0.0	hot	
ARU-080	nilo	quality	quality	A1	core	v1.0.0	cold	
ARU-081	kima	quality	quality	A1	core	v1.0.0	near	
ARU-082	para	quality	quality	A2	core	v1.0.0	far	
ARU-083	sama	quality	quality	A2	core	v1.0.0	similar / same	
ARU-084	lisu	quality	quality	A0	core	v1.0.0	clean / simple	
ARU-085	soma	root	body	A1	core	v1.0.0	body	
ARU-086	saki	root	body	A1	core	v1.0.0	head	
ARU-087	mata	root	body	A1	core	v1.0.0	eye / gaze	
ARU-088	nuko	root	body	A1	core	v1.0.0	ear	
ARU-089	muto	root	body	A1	core	v1.0.0	mouth / opening	
ARU-090	kute	root	body	A1	core	v1.0.0	hand / arm	
ARU-091	pamo	root	body	A1	core	v1.0.0	leg / foot	
ARU-092	rani	root	body	A1	core	v1.0.0	blood	
ARU-093	telo	root	body	A1	core	v1.0.0	skin / outer layer	
ARU-094	neno	root	body	A1	core	v1.0.0	heart / center	
ARU-095	nawa	root	body	A1	core	v1.0.0	pain / hurt	
ARU-096	nima	root	body	A1	core	v1.0.0	life / live	
ARU-097	melo	root	society	A1	core	v1.0.0	friend	
ARU-098	kano	root	society	A1	core	v1.0.0	child	
ARU-099	rane	root	society	A1	core	v1.0.0	adult / elder	
ARU-100	senu	root	society	A1	core	v1.0.0	teacher / guide	
ARU-101	kale	root	society	A1	core	v1.0.0	group / community	
ARU-102	nami	root	society	A1	core	v1.0.0	family / close group	
ARU-103	mono	root	world	A1	core	v1.0.0	thing / object	
ARU-104	suko	root	world	A1	core	v1.0.0	container / vessel	
ARU-105	lipa	root	media	A1	core	v1.0.0	sheet / book / document	
ARU-106	raku	root	media	A1	core	v1.0.0	write / mark / drawing	
ARU-107	lowa	root	media	A1	core	v1.0.0	read / interpret sign	
ARU-108	poto	root	media	A1	core	v1.0.0	image / picture	
ARU-109	sipu	root	media	A1	core	v1.0.0	text / record	
ARU-110	salo	root	action	A1	core	v1.0.0	work / task	
ARU-111	pela	root	action	A1	core	v1.0.0	play / game	
ARU-112	mona	root	action	A1	core	v1.0.0	thought / think	
ARU-113	sawi	root	action	A1	core	v1.0.0	ask / request	
ARU-114	pane	root	action	A1	core	v1.0.0	answer / reply	
ARU-115	nema	root	action	A1	core	v1.0.0	learn / study	
ARU-116	laki	root	action	A1	core	v1.0.0	choose / choice	
ARU-117	kame	root	action	A1	core	v1.0.0	remember	
ARU-118	niso	root	action	A1	core	v1.0.0	forget	
ARU-119	sano	root	action	A1	core	v1.0.0	believe / trust	
ARU-120	sena	root	action	A1	core	v1.0.0	try / test	
ARU-121	wena	root	action	A1	core	v1.0.0	help / support	
ARU-122	wati	root	action	A1	core	v1.0.0	wait	
ARU-123	mota	root	action	A1	core	v1.0.0	stay / remain	
ARU-124	weki	root	action	A1	core	v1.0.0	leave / depart	
ARU-125	soku	root	action	A1	core	v1.0.0	search / find	
ARU-126	toma	root	action	A1	core	v1.0.0	keep / store	
ARU-127	kipa	root	action	A1	core	v1.0.0	hold / carry	
ARU-128	puka	root	action	A1	core	v1.0.0	open	
ARU-129	soto	root	action	A1	core	v1.0.0	close / shut	
ARU-130	rupi	root	action	A1	core	v1.0.0	break / broken	
ARU-131	mela	root	action	A1	core	v1.0.0	repair / heal	
ARU-132	kasi	root	action	A1	core	v1.0.0	plant / grow	
ARU-133	simo	root	nature	A1	core	v1.0.0	living creature / animal	
ARU-134	kapi	root	nature	A1	core	v1.0.0	stone / solid piece	
ARU-135	pula	root	nature	A1	core	v1.0.0	dust / powder	
ARU-136	roka	root	nature	A1	core	v1.0.0	rain	
ARU-137	lupo	root	nature	A1	core	v1.0.0	path / road	
ARU-138	rano	root	nature	A1	core	v1.0.0	river / flow	
ARU-139	mewa	root	nature	A1	core	v1.0.0	sea / large water place	
ARU-140	sara	root	nature	A1	core	v1.0.0	mountain / high land	
ARU-141	pano	root	nature	A1	core	v1.0.0	field / open area	
ARU-142	kowa	root	nature	A1	core	v1.0.0	wind / moving air	
ARU-143	misa	root	world	A1	core	v1.0.0	middle / between	
ARU-144	tonu	quality	quality	A2	core	v1.0.0	true / real	
ARU-145	kemu	quality	quality	A2	core	v1.0.0	false / unreal	
ARU-146	kasa	quality	quality	A2	core	v1.0.0	hard / difficult	
ARU-147	lapi	quality	quality	A1	core	v1.0.0	soft	
ARU-148	nasa	quality	quality	A2	core	v1.0.0	strange / confused	
ARU-149	sene	quality	quality	A1	core	v1.0.0	quiet / calm	
ARU-150	riki	quality	quality	A1	core	v1.0.0	fast	
ARU-151	mole	quality	quality	A1	core	v1.0.0	slow	
ARU-152	risa	quality	quality	A2	core	v1.0.0	heavy	
ARU-153	puna	quality	quality	A2	core	v1.0.0	lightweight	
ARU-154	rasa	quality	quality	A2	core	v1.0.0	red	
ARU-155	nilu	quality	quality	A2	core	v1.0.0	blue / green	
ARU-156	walo	quality	quality	A2	core	v1.0.0	white / bright-colored	
ARU-157	pako	quality	quality	A2	core	v1.0.0	black / dark-colored	
